date,price,open,vol
10/04/2017,"1,276.80","1,274.50",273.12K
10/03/2017,"1,274.60","1,273.10",207.42K
10/02/2017,"1,275.80","1,282.20",272.71K
09/29/2017,"1,284.80","1,290.10",287.45K
09/28/2017,"1,288.70","1,285.10",288.51K
09/27/2017,"1,285.80","1,295.40",0.75K
09/26/2017,"1,299.50","1,310.80",0.72K
09/25/2017,"1,308.80","1,294.70",0.44K
09/22/2017,"1,294.90","1,292.30",0.21K
09/21/2017,"1,292.20","1,302.00",0.76K
09/20/2017,"1,314.00","1,311.90",0.37K
09/19/2017,"1,308.20","1,308.40",0.34K
09/18/2017,"1,308.30","1,318.60",0.09K
09/15/2017,"1,322.90","1,333.00",0.07K
09/14/2017,"1,326.90","1,320.00",0.07K
09/13/2017,"1,325.60","1,334.10",0.13K
09/12/2017,"1,330.50","1,330.50",0.13K
09/11/2017,"1,333.20","1,346.00",0.18K
09/08/2017,"1,349.10","1,352.20",0.17K
09/07/2017,"1,348.40","1,337.80",0.22K
09/06/2017,"1,337.10","1,343.70",0.10K
09/05/2017,"1,342.60","1,338.10",0.27K
09/04/2017,"1,344.50","1,339.70",368.17K
09/01/2017,"1,328.50","1,327.30",0.04K
08/31/2017,"1,320.40","1,314.80",0.01K
08/30/2017,"1,312.30","1,312.30",460.45K
08/29/2017,"1,315.30","1,315.60",20.42K
08/28/2017,"1,311.80","1,294.10",28.97K
08/25/2017,"1,294.50","1,288.10",10.01K
08/24/2017,"1,288.60","1,292.50",3.87K
08/23/2017,"1,291.30","1,286.90",4.10K
08/22/2017,"1,287.60","1,293.20",4.47K
08/21/2017,"1,293.30","1,285.50",3.71K
08/18/2017,"1,288.30","1,290.70",8.55K
08/17/2017,"1,289.10","1,286.00",7.34K
08/16/2017,"1,279.50","1,273.80",3.60K
08/15/2017,"1,276.30","1,284.20",5.74K
08/14/2017,"1,287.00","1,292.90",5.49K
08/11/2017,"1,290.70","1,289.50",5.83K
08/10/2017,"1,286.70","1,280.20",8.31K
08/09/2017,"1,276.00","1,262.70",8.53K
08/08/2017,"1,259.30","1,259.80",6.11K
08/07/2017,"1,261.40","1,261.40",1.43K
08/04/2017,"1,261.30","1,272.00",9.06K
08/03/2017,"1,271.10","1,269.00",6.86K
08/02/2017,"1,275.10","1,271.70",4.28K
08/01/2017,"1,276.10","1,272.40",14.03K
07/31/2017,"1,270.10","1,273.00",5.01K
07/28/2017,"1,271.90","1,261.90",20.06K
07/27/2017,"1,261.50","1,261.30",2.51K
07/26/2017,"1,250.80","1,250.70",1.51K
07/25/2017,"1,253.50","1,256.10",1.23K
07/24/2017,"1,255.60","1,256.00",1.20K
07/21/2017,"1,256.00","1,245.00",0.33K
07/20/2017,"1,246.80","1,242.10",0.46K
07/19/2017,"1,243.40","1,243.40",0.35K
07/18/2017,"1,243.40","1,235.50",0.87K
07/17/2017,"1,235.30","1,230.60",0.61K
07/14/2017,"1,229.10","1,218.40",0.34K
07/13/2017,"1,218.90","1,219.80",0.32K
07/12/2017,"1,220.80","1,218.70",0.28K
07/11/2017,"1,216.40","1,214.30",0.28K
07/10/2017,"1,214.90","1,212.60",0.39K
07/07/2017,"1,211.40","1,221.70",0.51K
07/06/2017,"1,225.00","1,228.00",0.14K
07/05/2017,"1,223.40","1,223.00",0.37K
07/04/2017,"1,221.70","1,220.10",366.77K
07/03/2017,"1,221.00","1,244.40",0.24K
